,Phase,Phase #,Date,Day,Plot,Distance,# Evaluators,Start Time,End Time,Encounter time,Long E,Lat (N),Height,Zone,Family,Genus,Species,Location (m),Location Type,Behavior,Mass,Body Length,Tail Length,Photo Code,Hyssop Code,Capture Code,Additional Obs
71,DR,3,2/6/15 00:00,6,68,50,4,01:26:00,01:56:00,01:57:00,282340,8562869,1090,19 L,Craugastoridae,Pristimantis,diadematus,0.07,Hoja,Activo,3,34.8,-,3881-3898,3Bd141,154438,Presencia de neblina 
72,DR,3,2/6/15 00:00,6,68,50,4,01:26:00,01:56:00,01:38:00,282359,8562874,1011,19 L,Bufonidae,Rhinella,tacana,0.2,Hoja,Alerta,2,30.2,-,no,3Bd146,no,Presencia de neblina 
73,DR,3,2/6/15 00:00,6,68,50,4,01:26:00,01:56:00,01:37:00,282336,8562864,1012,19 L,Bufonidae,Rhinella,tacana,1,Hoja,Alerta,1.73,27.7,-,no,3Bd144,no,Presencia de neblina 
74,DR,3,2/6/15 00:00,6,68,50,4,01:26:00,01:56:00,01:52:00,282343,8562862,1011,19 L,Bufonidae,Rhinella,tacana,1.2,Hoja,Alerta,0.42,18.3,-,no,3Bd142,no,Presencia de neblina 
75,DR,3,2/6/15 00:00,6,68,50,4,01:26:00,01:56:00,01:38:00,282350,8562861,1088,19 L,Craugastoridae,Pristimantis,danae,0.2,Hoja,Atento,0.27,14.3,-,no,3Bd140,no,Presencia de neblina 
76,DR,3,2/6/15 00:00,6,68,50,4,01:26:00,01:56:00,01:48:00,282334,8562869,1089,19 L,Craugastoridae,Pristimantis,gagliardi,0.2,Hoja,Atento,0.22,13.7,-,no,3Bd143,no,Presencia de neblina 
77,DR,3,2/6/15 00:00,6,68,50,4,01:26:00,01:56:00,01:38:00,282359,8562874,1011,19 L,Craugastoridae,Pristimantis,danae,0.3,Hoja,Saltando,0.17,13.8,-,no,3Bd145,no,Presencia de neblina 
78,DR,3,2/6/15 00:00,6,68,50,4,01:26:00,01:56:00,01:53:00,282340,8562869,1090,19 L,Craugastoridae,Pristimantis,divnae,1,Hoja,Atento,0.1,11,-,,3Bd139,no,Presencia de neblina 
79,LC,2,10/8/14 00:00,12,64,50,,01:55:00,02:25:00,02:20:00,desconocido,desconocido,desconocido,19L,Hylidae,Osteocephalus,mimeticus,20,sobre hoja,cantando,na,na,0,no tiene fotos,no,no,se escapo
80,LC,2,10/8/14 00:00,12,64,50,4,01:55:00,02:25:00,02:20:00,desconocido,desconocido,desconocido,19L,Hylidae,Osteocephalus,mimeticus,0,sobre una hoja en un pozo de una quebrada,cantando,4.85,44.1,0,no tiene fotos,2Bd164,154405,
81,AB,5,9/7/16 00:00,1,67,50,4,02:13:00,02:43:00,02:29:00,282296,8562832,998,19L,Craugastoridae,Pristimantis,ockendeni,0,Suelo,Saltando,0.39,10.5,,4475-4483,5Bd024,22257,
82,AB,5,9/7/16 00:00,1,67,50,4,02:13:00,02:43:00,02:14:00,282308,8562845,1000,19L,Craugastoridae,Oreobates,amarakaeri,0.4,Hoja,Alerta,0.31,24.5,,,5Bd023,,
83,EC,1,24/06/2014,6,1,1000,3,17:50:00,18:30:00,18:29:00,-71.01567898,-12.98968303,830.765076,19 L,Bufonidae,Rhinella,tacana,0.8,En hoja,Atento,1.28,23,,,Bd087,No colectado,
84,EC,1,24/06/2014,6,1,1000,3,17:50:00,18:30:00,18:08:00,-71.00906599,-12.992252,965.301758,19 L,Craugastoridae,Pristimantis,aff altamazonica,2,En hoja,Cantando,0.5,17.7,,,Bd089,UNMS 154322,En hoja de trepadora de arbol de 20m. Con grabacion. Con foto
85,EC,1,24/06/2014,6,1,1000,3,17:50:00,18:30:00,18:16:00,-71.01560103,-12.98987196,843.25116,19 L,Craugastoridae,Pristimantis,gagliardi,0.1,En helecho,Saltando,0.41,16.3,,,Bd088,No colectado,
86,EC,1,24/06/2014,6,1,1000,3,17:50:00,18:30:00,18:24:00,-71.01552802,-12.98984396,827.822083,19 L,Bufonidae,Rhinella,tacana,0.3,En hoja,Saltando,0.31,16.2,,,Bd086,No colectado,
87,EC,1,24/06/2014,6,1,1000,3,17:50:00,18:30:00,18:03:00,-71.00671403,-12.99419702,798.884155,19 L,Bufonidae,Rhinella,tacana,0,En hojarasca,Saltando,0.3,16.2,,,Bd085,No colectado,
88,EC,1,30/06/2014,12,10,1000,3,17:55:00,18:35:00,18:04:00,-71.01261296,-12.98550398,785.219971,19 L,Hylidae,Osteocephalus,mimeticus,0,En roca de quebrada,Saltando,7.75,47.4,,,Bd207,No colectado,Cerca al punto GPS
89,EC,1,30/06/2014,12,10,1000,3,17:55:00,18:35:00,18:28:00,-71.01302996,-12.98557003,791.68988,19 L,Craugastoridae,Pristimantis,ockendeni,0,En hojarasca,Saltando,0.91,22.8,,,Bd208,No colectado,Cerca al punto GPS
90,EC,1,30/06/2014,12,10,1000,3,17:55:00,18:35:00,18:15:00,-71.01290398,-12.98547498,800.82196,19 L,Craugastoridae,Pristimantis,ockendeni,0.3,En hoja,Activo,0.39,17.8,,,Bd206,No colectado,
91,EC,1,30/06/2014,12,10,1000,3,17:55:00,18:35:00,18:20:00,-71.01359901,-12.98535202,760.071167,19 L,Craugastoridae,Pristimantis,ockendeni,1,En hoja,Atento,0.34,16.6,,,Bd205,No colectado,
92,EC,1,30/06/2014,12,10,1000,3,17:55:00,18:35:00,18:34:00,-71.01296601,-12.98565896,786.47406,19 L,Craugastoridae,Pristimantis,aff pharangobates,0.4,En hoja,Atento,0.29,16.3,,,Bd204,No colectado,
93,EC,1,30/06/2014,12,10,1000,3,17:55:00,18:35:00,18:04:00,-71.01261296,-12.98550398,785.219971,19 L,Hylidae,Osteocephalus,mimeticus,0,En roca de quebrada,Saltando,,,,,,No colectado,"Se escapo, Cerca al punto GPS"
94,EC,1,30/06/2014,12,10,1000,3,17:55:00,18:35:00,18:35:00,-71.01302996,-12.98557003,791.68988,19 L,Craugastoridae,Pristimantis,ockendeni,0,En hojarasca,Saltando,,,,,,No colectado,"Se escapo, Cerca al punto GPS(10m)"
95,LC,2,30/09/2014,5,58,150,,18:00:00,18:40:00,18:21:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,danae,170,sobre hoja ,cantando,2.05,30.4,0,no tiene fotos,2Bd072,no,canto grabado
