,Phase,Phase #,Date,Day,Plot,Distance,# Evaluators,Start Time,End Time,Encounter time,Long E,Lat (N),Height,Zone,Family,Genus,Species,Location (m),Location Type,Behavior,Mass,Body Length,Tail Length,Photo Code,Hyssop Code,Capture Code,Additional Obs,Year,Month,Date2,OPE,Rain,S_fuel,S_hour,S_hr/pp,S_peeps,flights,Temp,Hum,Luna,Elev
54,AB,5,2016-09-07,1,68,50,4.0,00:58:00,01:28:00,01:21:00,282334.0,8562854.0,1001.0,19L,Plethodontidae,Bolitoglossa,cf altamazonica,0.5,tronco,activo,0.96,39.8,29.8,4428-4444,5Bd022,22265,,2016,9,7,2.0,0.0,80.0,0.0,0.0,67.0,0.0,,,0.24,998.5
55,AB,5,2016-09-07,1,68,50,4.0,00:58:00,01:28:00,01:28:00,282332.0,8562866.0,997.0,19L,Leptodactylidae,Adenomera,andreae,0.0,suelo,activo,0.72,29.3,,,5Bd018,,,2016,9,7,2.0,0.0,80.0,0.0,0.0,67.0,0.0,,,0.24,998.5
56,AB,5,2016-09-07,1,68,50,4.0,00:58:00,01:28:00,01:27:00,282338.0,8562861.0,997.0,19L,Craugastoridae,Noblella,sp,0.0,suelo,saltando,0.05,10.0,,4385-4407,5Bd020,22258,,2016,9,7,2.0,0.0,80.0,0.0,0.0,67.0,0.0,,,0.24,998.5
57,EC,1,2014-06-28,10,66,50,3.0,01:00:00,01:40:00,,,,,,Hylidae,Hypsiboas,sp nov,0.0,,,6.55,43.1,,,Bd174,,Macho / Datos JC,2014,6,28,5.0,10.0,0.0,1000.0,11.363636363636363,88.0,0.0,12.0,104.0,0.01,1008.5
58,EC,1,2014-06-28,10,66,50,3.0,01:00:00,01:40:00,,,,,,Bufonidae,Rhinella,tacana,1.5,en hoja,activo,0.37,16.0,,,Bd175,,Datos JC,2014,6,28,5.0,10.0,0.0,1000.0,11.363636363636363,88.0,0.0,12.0,104.0,0.01,1008.5
59,EC,1,2014-06-29,11,65,50,3.0,01:02:00,01:42:00,01:28:00,-71.0074870102107,-12.9935220256447,1013.50708,19L,Hylidae,Hypsiboas,sp nov,0.0,en roca de quebrada,saltando,9.13,47.15,,,Bd199,,Cerca al punto Gps,2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,15.0,103.0,0.08,1001.75
60,EC,1,2014-06-29,11,65,50,3.0,01:02:00,01:42:00,01:30:00,-71.0074870102107,-12.9935220256447,1013.50708,19L,Hylidae,Hypsiboas,sp nov,0.0,en roca de quebrada,saltando,6.64,43.82,,,Bd202,UNMS 154339,"En amplexus, con 250 huevos en criovial",2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,15.0,103.0,0.08,1001.75
61,EC,1,2014-06-29,11,65,50,3.0,01:02:00,01:42:00,01:30:00,-71.0074870102107,-12.9935220256447,1013.50708,19L,Hylidae,Hypsiboas,sp nov,0.0,en roca de quebrada,saltando,5.97,44.82,,,Bd200,,,2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,15.0,103.0,0.08,1001.75
62,EC,1,2014-06-29,11,65,50,3.0,01:02:00,01:42:00,01:30:00,-71.0074870102107,-12.9935220256447,1013.50708,19L,Hylidae,Hypsiboas,sp nov,0.0,en roca de quebrada,saltando,5.78,47.0,,,Bd203,UNMS 154340,"En amplexus, con 250 huevos en criovial",2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,15.0,103.0,0.08,1001.75
63,EC,1,2014-06-29,11,65,50,3.0,01:02:00,01:42:00,01:37:00,-71.0077539738267,-12.9936689604073,993.538757,19L,Bufonidae,Rhinella,tacana,0.4,en hoja,atento,2.2,32.1,,,Bd195,,,2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,15.0,103.0,0.08,1001.75
